anyo,id_alumno,fecha_nac,sexo,estado_matricula,curso,grupo,turno
2024_25,6cdf9653aae8f61e7a36b404b2271961e0ed90710b92b2ee31f305197947c98a,24/05/1962,M,M,3162075411,1CFMI,S
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,15/08/2003,H,M,3162077551,2CFSI,D
2024_25,daa10871f464cce7d7d2c586c5a9c460ee1b62952811601f46adc2610755443e,29/01/2003,H,M,3162079957,2CFSH,D
2024_25,db525b54e2c4f147bb96b510c880a474a48190d6f23dd6d2d982927c7df6a069,27/12/2000,M,M,3162079993,2CFSR,S
2024_25,65f54ddef2ce6bdbce93b36025a88b6e227817acc6c0595669bde5e79847ff6b,06/11/1978,M,M,3162079713,2CFMD,S
2024_25,0c64afae23b6f41dff9822d8f69c393cfbed7f0da0279a3e0a36a86e494b1180,20/11/1990,M,M,3162075411,1CFMI,S
2024_25,d30551ce41430a40d66e66ecc1a4bb6be5979765aa2b71493cb493dc43136ca7,06/05/1975,M,M,3162075411,1CFMF,D
2024_25,7b8122a14a60699f7e7879d6137aeed8a3a9ab175ce876363dadccf3dd24d5d4,09/01/1993,H,M,3162077600,2CFSS,S
2024_25,f85e9b9935ed9caf3d5e305cddf72f21bc373559bb6f8969f4fd74c99ca2e376,03/10/1966,H,M,3162080071,2CFSC,D
2024_25,ff2eb1ee6603020f6317bab8d326417f95b27910660f3bfd6dc6df3e67a3a5c0,03/09/1983,M,M,3162075411,1CFME,D
2024_25,d06d0a2be2ba8fdf0ffc3313900a268aaf86dcf3fb69e83e419baeed4b65e349,08/03/1995,M,M,3162075539,2CFSK,D
2024_25,0ec97af1959c6e986b2603a05b47fb6941a539fbc20a3a1bb30196e5076f30aa,31/10/2002,H,M,3162079993,2CFSR,S
2024_25,79400df84e85a2038906230a9452fcad6819ec2b013b39373dfa98ec50a42d7f,05/10/2001,M,M,3162075411,1CFMI,S
2024_25,c8cff31e838bb483afff1e97e8f2781e55c54b4218473aa793e8d5c449d08c78,23/05/1986,M,M,3162079790,2CFSP,S
2024_25,39445826aaf4684e5fd98c1f47ab0f79643fd688b101ed996082e302944d0815,19/12/1988,M,M,3228379385,1CFMG,S
2024_25,42613e8f36792fe667c6463340a91f51551f832531ad02cc1274f4ddb00cb204,15/10/1998,M,M,3228410748,1CFSN,S
2024_25,8e806dd0965e9b8684cae59c60fdf167091232e31262e3c0a656396c3bf250e9,13/08/1985,H,M,3162079790,2CFSP,S
2024_25,f31fb76cd39796b26838467454439c30161cfa71a89e38802044ae30e0ad1d65,09/11/2004,H,M,3162079790,2CFSA,D
2024_25,d2f5d000f81723a9b1cba20e948001df61267024a7c774c10059d1d3d8349cfa,21/01/1998,M,B,3228415772,1CFSO,D
2024_25,a3427b7463ee35c42d2cc4f6aad41c47dce7cefbc57fd83b42d9fcbdd7bac912,16/02/1972,M,M,3162079993,2CFSR,S
2024_25,04b7cfef01e64cfd4b1496b768be2fa88ad1d6be84bfd088c045854f4373fb89,08/01/2005,H,M,3228406545,1CFSI,D
2024_25,f1df52301cd8d8469fe0afc818defe63dfeb29714449a8dc8247210b149a4ba2,19/04/1981,M,M,3162075418,2CFMK,D
2024_25,4fa9ef0957f74add83671481877809f5fd6d5e2ca6bc74fd5e51f734c6a6c86a,08/07/2001,M,M,3162075539,2CFSK,D
2024_25,2b26dbd201371eb890beb06e6a8e668cbecf076b5d480d814ccb6d8ba7c4fe73,15/10/1968,M,M,3162075411,1CFMI,S
2024_25,a7ce7a95f69105dac37ed079edda833e2ea4f6f9a7fe68dc9c624245f0d13f0b,28/02/1992,M,M,3162079713,2CFMD,S
2024_25,812f4015cf08464c73dfa5eb4bc2d6eac350615086ed94fca228649bdee2fa3b,16/03/2003,H,M,3162075539,2CFSF,D
2024_25,bc12ba4a1e0744bf0ad86028f479ed024620c3e3a9df29da836ed8770fd65e3b,22/02/2005,M,M,3228410357,1CFSD,D
2024_25,668b543fd712bf0e03cedc4437c8da84271e2312325642dd9e273e19d4615777,21/08/2004,H,M,3228406931,1CFSB,D
2024_25,2b096cbf2fb60c75065402ee2e7fcfbfe34c8345ed1035cf196cafc155b0f7d6,27/12/2000,M,M,3228406931,1CFSP,S
2024_25,d63e7fb94ab0fefcfdc3c5ddfbc44f5ee4c1490db4bd1bfca31c8df1cdf272f2,16/07/1984,M,M,3162075411,1CFMI,S
2024_25,c7907da237a494385df573c40292e67b04385deded1a10e8b5deaeb8c1277834,09/01/2004,H,M,3162080071,2CFSC,D
2024_25,dc1d087bb4907db087ea40845783e2d1048464c796e242c5d1dba0dd13f0c543,09/12/1999,M,M,3162076119,2CFSE,D
2024_25,abd7c9278c1be300ccb2d6fe4f1c5d8ba70879689eaaaa7d125732d8981af398,20/06/2004,H,M,3228413382,1CFSQ,D
2024_25,420abb1bd3f7ec94e33b9c150c0cfc8b076d8169f0f3f7d8510337da8c0a501e,25/12/2004,H,B,3228410357,1CFSD,D
2024_25,b0250b4fe4b1f1d33431fcc8fe02e541e25a2a4e4ef976b214ae7ad4f234ba6f,13/02/2005,H,M,3162079790,2CFSA,D
2024_25,ffc7943f287dee7c0f153b8ef05f865a68380c279b68095731478b8e2958161a,16/06/1976,H,M,3162079874,1CESIAB,D
2024_25,0c2c743c07cbe87db69ef4db3ab14970b0f4b4767a386f28bd5e10343f363c75,12/11/1996,M,M,3228415772,1CFSS,D
2024_25,9ab883e5dee76e2e6421d496617d7edcdec4bc4f234e6ae65b369a9563a7dbce,21/05/1990,M,M,3228379385,1CFMG,S
